name,official_domain,detected_ats,board_url,career_page,accel_job_board_url,accel_profile_url,confidence,notes
Rapido,,,,,https://jobs.accel.com/companies/rapido,https://www.accel.com/companies/rapido,low,
RecommerceX,,,,,https://jobs.accel.com/companies/recommercex,https://www.accel.com/companies/recommercex,low,
Rocket,,,,,,https://www.accel.com/companies/rocket,low,
Sahi,,,,,,https://www.accel.com/companies/sahi,low,
Sarla Aviation,,,,,https://jobs.accel.com/companies/sarla-aviation,https://www.accel.com/companies/sarla-aviation,low,
Scimplify,,,,,https://jobs.accel.com/companies/scimplify-2,https://www.accel.com/companies/scimplify,low,
Seezo,,,,,,https://www.accel.com/companies/seezo,low,
Simplismart,,,,,,https://www.accel.com/companies/simplismart,low,
Spinny,,,,,https://jobs.accel.com/companies/spinny,https://www.accel.com/companies/spinny,low,
Supabase,,,,,https://jobs.accel.com/companies/supabase-2,https://www.accel.com/companies/supabase,low,verify HQ/India relevance
SureWaves,,,,,https://jobs.accel.com/companies/surewaves,https://www.accel.com/companies/surewaves,low,
Swiggy,,,,,https://jobs.accel.com/companies/swiggy,https://www.accel.com/companies/swiggy,low,
Swish,,,,,,https://www.accel.com/companies/swish,low,
Taxi For Sure,,,,,,https://www.accel.com/companies/taxi-for-sure,low,likely defunct/acquired - verify still hiring
Teabox,,,,,https://jobs.accel.com/companies/teabox-2,https://www.accel.com/companies/teabox,low,
Testsigma,,,,,https://jobs.accel.com/companies/testsigma-2,https://www.accel.com/companies/testsigma,low,
The Lafz,,,,,https://jobs.accel.com/companies/the-lafz-2,https://www.accel.com/companies/the-lafz,low,
Tracxn,,,,,https://jobs.accel.com/companies/tracxn-2,https://www.accel.com/companies/tracxn,low,
Travelstop,,,,,https://jobs.accel.com/companies/travelstop,https://www.accel.com/companies/travelstop,low,
Trinkerr,,,,,https://jobs.accel.com/companies/trinkerr-2,https://www.accel.com/companies/trinkerr,low,
Truemeds,,,,,,https://www.accel.com/companies/truemeds,low,
Uni Cards,,,,,https://jobs.accel.com/companies/uni-cards-2,https://www.accel.com/companies/uni-cards,low,
Unmannd,,,,,,https://www.accel.com/companies/unmannd,low,
Uppercase,co.in,,,,https://jobs.accel.com/companies/uppercase-2,https://www.accel.com/companies/uppercase,medium,
UrbanCompany,,,,,,https://www.accel.com/companies/urbancompany,low,
USPL Wrogn,,,,,,https://www.accel.com/companies/uspl,low,"name likely ""Wrogn"" (USPL brand) - verify"
Vaya,,,,,,https://www.accel.com/companies/vaya,low,
Vedantu,,,,,https://jobs.accel.com/companies/vedantu,https://www.accel.com/companies/vedantu,low,
Venwiz,,,,,https://jobs.accel.com/companies/venwiz-2,https://www.accel.com/companies/venwiz,low,
Vinculum,,,,,,https://www.accel.com/companies/vinculum,low,
Virgio,,,,,https://jobs.accel.com/companies/virgio,https://www.accel.com/companies/virgio,low,
Wiom,,,,,https://jobs.accel.com/companies/wiom-2,https://www.accel.com/companies/wiom,low,
Xalts,,,,,https://jobs.accel.com/companies/xalts,https://www.accel.com/companies/xalts,low,
Xendit,,,,,https://jobs.accel.com/companies/xendit,https://www.accel.com/companies/xendit,low,SEA (Indonesia) - not an Indian company
Zed,,,,,,https://www.accel.com/companies/zed,low,
Zetwerk,,,,,https://jobs.accel.com/companies/zetwerk,https://www.accel.com/companies/zetwerk,low,
Zolve,,,,,https://jobs.accel.com/companies/zolve,https://www.accel.com/companies/zolve,low,US/India cross-border fintech - verify HQ
